time,bname,vname,u
7.484200e+02,ZP,UZ,-2.697983e-04
7.499200e+02,ZP,UZ,-2.695219e-04
7.514300e+02,ZP,UZ,-2.703512e-04
7.529300e+02,ZP,UZ,-2.692456e-04
7.544400e+02,ZP,UZ,-2.697983e-04
7.559400e+02,ZP,UZ,-2.703512e-04
7.574400e+02,ZP,UZ,-2.695219e-04
7.594000e+02,ZP,UZ,-2.692456e-04
7.614400e+02,ZP,UZ,-2.695219e-04
7.629400e+02,ZP,UZ,-2.703512e-04
7.644500e+02,ZP,UZ,-2.700749e-04
7.659500e+02,ZP,UZ,-2.695219e-04
7.674600e+02,ZP,UZ,-2.695219e-04
7.689600e+02,ZP,UZ,-2.695219e-04
7.704600e+02,ZP,UZ,-2.700749e-04
7.719700e+02,ZP,UZ,-2.697983e-04
7.734700e+02,ZP,UZ,-2.703512e-04
7.749800e+02,ZP,UZ,-2.689690e-04
7.764800e+02,ZP,UZ,-2.700749e-04
7.779900e+02,ZP,UZ,-2.697983e-04
7.794900e+02,ZP,UZ,-2.692456e-04
7.809900e+02,ZP,UZ,-2.692456e-04
7.825000e+02,ZP,UZ,-2.706276e-04
7.840000e+02,ZP,UZ,-2.689690e-04
7.855000e+02,ZP,UZ,-2.695219e-04
7.870100e+02,ZP,UZ,-2.700749e-04
7.885100e+02,ZP,UZ,-2.695219e-04
7.900200e+02,ZP,UZ,-2.706276e-04
7.915200e+02,ZP,UZ,-2.686926e-04
7.930300e+02,ZP,UZ,-2.695219e-04
7.945300e+02,ZP,UZ,-2.703512e-04
7.960400e+02,ZP,UZ,-2.689690e-04
7.975400e+02,ZP,UZ,-2.692456e-04
7.990400e+02,ZP,UZ,-2.700749e-04
8.005500e+02,ZP,UZ,-2.697983e-04
8.020500e+02,ZP,UZ,-2.692456e-04
8.035500e+02,ZP,UZ,-2.695219e-04
8.050600e+02,ZP,UZ,-2.692456e-04
8.065600e+02,ZP,UZ,-2.695219e-04
8.080700e+02,ZP,UZ,-2.703512e-04
8.095700e+02,ZP,UZ,-2.697983e-04
8.110800e+02,ZP,UZ,-2.703512e-04
8.125800e+02,ZP,UZ,-2.709042e-04
8.140800e+02,ZP,UZ,-2.709042e-04
8.155900e+02,ZP,UZ,-2.686926e-04
8.170900e+02,ZP,UZ,-2.692456e-04
8.185900e+02,ZP,UZ,-2.692456e-04
8.201000e+02,ZP,UZ,-2.686926e-04
8.216000e+02,ZP,UZ,-2.692456e-04
8.231100e+02,ZP,UZ,-2.695219e-04
8.246200e+02,ZP,UZ,-2.695219e-04
8.261300e+02,ZP,UZ,-2.706276e-04
8.276400e+02,ZP,UZ,-2.692456e-04
8.291400e+02,ZP,UZ,-2.697983e-04
