,time,ten9_comp,Total Stress,S3 Magnitude,Pressure,Temperature
305,4136282.5,zz,-9.459459e+07,-7.617031e+07,6.926915e+07,308.11816
306,4636282.5,xx,-7.6172536e+07,-7.617031e+07,6.926915e+07,308.11816
307,4636282.5,xy,7.9249704e-11,-7.617031e+07,6.926915e+07,308.11816
308,4636282.5,xz,-39202.402,-7.617031e+07,6.926915e+07,308.11816
309,4636282.5,yx,7.9249704e-11,-7.617031e+07,6.926915e+07,308.11816
310,4636282.5,yy,-7.617044e+07,-7.617031e+07,6.926915e+07,308.11816
311,4636282.5,yz,-47617.61,-7.617031e+07,6.926915e+07,308.11816
312,4636282.5,zx,-39202.402,-7.617031e+07,6.926915e+07,308.11816
313,4636282.5,zy,-47617.61,-7.617031e+07,6.926915e+07,308.11816
314,4636282.5,zz,-9.459459e+07,-7.617031e+07,6.926915e+07,308.11816
315,5136282.5,xx,-7.61782e+07,-7.617647e+07,6.9327944e+07,308.11755
316,5136282.5,xy,8.195176e-11,-7.617647e+07,6.9327944e+07,308.11755
317,5136282.5,xz,-38836.637,-7.617647e+07,6.9327944e+07,308.11755
318,5136282.5,yx,8.195176e-11,-7.617647e+07,6.9327944e+07,308.11755
319,5136282.5,yy,-7.617659e+07,-7.617647e+07,6.9327944e+07,308.11755
320,5136282.5,yz,-46860.168,-7.617647e+07,6.9327944e+07,308.11755
321,5136282.5,zx,-38836.637,-7.617647e+07,6.9327944e+07,308.11755
322,5136282.5,zy,-46860.168,-7.617647e+07,6.9327944e+07,308.11755
323,5136282.5,zz,-9.463437e+07,-7.617647e+07,6.9327944e+07,308.11755
324,5636282.5,xx,-7.61782e+07,-7.617647e+07,6.9327944e+07,308.11755
325,5636282.5,xy,8.195176e-11,-7.617647e+07,6.9327944e+07,308.11755
326,5636282.5,xz,-38836.637,-7.617647e+07,6.9327944e+07,308.11755
327,5636282.5,yx,8.195176e-11,-7.617647e+07,6.9327944e+07,308.11755
328,5636282.5,yy,-7.617659e+07,-7.617647e+07,6.9327944e+07,308.11755
329,5636282.5,yz,-46860.168,-7.617647e+07,6.9327944e+07,308.11755
330,5636282.5,zx,-38836.637,-7.617647e+07,6.9327944e+07,308.11755
331,5636282.5,zy,-46860.168,-7.617647e+07,6.9327944e+07,308.11755
332,5636282.5,zz,-9.463437e+07,-7.617647e+07,6.9327944e+07,308.11755
333,6136282.5,xx,-7.6176776e+07,-7.617488e+07,6.938589e+07,308.11694
334,6136282.5,xy,8.52605e-11,-7.617488e+07,6.938589e+07,308.11694
335,6136282.5,xz,-38377.84,-7.617488e+07,6.938589e+07,308.11694
